Program,Phase,Day,Exercise,Sets,Reps,RPE,Rest,Notes
Full Body,Weeks 1-4,Full Body #1,Back Squat,3,6,7,3-4MIN,"SIT BACK AND DOWN, 15° TOE FLARE, DRIVE YOUR KNEES OUT LATERALLY"
Full Body,Weeks 1-4,Full Body #1,Barbell Bench Press,3,8,7,3-4MIN,"TUCK ELBOWS AT A 45 ANGLE, SQUEEZE YOUR SHOULDER BLADES AND STAY FIRM ON THE BENCH"
Full Body,Weeks 1-4,Full Body #1,Lat Pulldown,3,10,8,2-3MIN,"PULL YOUR ELBOWS STRAIGHT OUT TO YOUR SIDES, USE A 1.5X SHOULDER WIDTH GRIP"
Full Body,Weeks 1-4,Full Body #1,Romanian Deadlift,3,10,7,2-3MIN,"MAINTAIN A NEUTRAL LOWER BACK, SET YOUR HIPS BACK, DON'T ALLOW YOUR SPINE TO ROUND"
Full Body,Weeks 1-4,Full Body #1,Assisted Dip,3,8,7,1-2MIN,"TUCK ELBOWS AT A 45º ANGLE, LEAN YOUR TORSO FORWARD 15°"
Full Body,Weeks 1-4,Full Body #1,Standing Calf Raise,3,10,8,1-2MIN,"PRESS ALL THE WAY UP TO YOUR TOES, STRETCH YOUR CALVES AT THE BOTTOM, DON'T BOUNCE"
Full Body,Weeks 1-4,Full Body #1,Dumbbell Supinated Curl,3,10,8,1-2MIN,DRIVE YOUR PINKY INTO THE HANDLE HARDER THAN YOUR POINTER FINGER
Full Body,Weeks 1-4,Full Body #2,Deadlift,3,5,7,3-4MIN,"BRACE YOUR LATS, CHEST TALL, HIPS HIGH, PULL THE SLACK OUT OF THE BAR PRIOR TO MOVING IT OFF THE GROUND"
Full Body,Weeks 1-4,Full Body #2,Military Press,3,8,8,3-4MIN,"SQUEEZE YOUR GLUTES TO KEEP YOUR TORSO UPRIGHT, CLEAR YOUR HEAD OUT OF THE WAY, PRESS UP AND SLIGHTLY BACK"
Full Body,Weeks 1-4,Full Body #2,Chest-Supported T-Bar Row,3,12,8,2-3MIN,"RETRACT YOUR SCAPULAE DURING THE CONCENTRIC, PROTRACT YOUR SCAPULAE DURING THE ECCENTRIC"
Full Body,Weeks 1-4,Full Body #2,Leg Extension,3,12,8,1-2MIN,FOCUS ON SQUEEZING YOUR QUADS TO MAKE THE WEIGHT MOVE
Full Body,Weeks 1-4,Full Body #2,Cable Flye,3,12,8,1-2MIN,"KEEP YOUR SCAPULAE RETRACTED, PULL YOUR INNER ELBOWS TOGETHER (NOT YOUR HANDS)"
Full Body,Weeks 1-4,Full Body #2,Crunch,3,12,7,1-2MIN,"FOCUS ON FLEXING YOUR SPINE, DON'T YANK YOUR HEAD WITH YOUR ARMS"
Full Body,Weeks 1-4,Full Body #2,Dumbbell Skull Crusher,3,12,8,1-2MIN,"KEEP YOUR ELBOWS IN LINE WITH THE TOP OF YOUR HEAD, DON'T LET YOUR UPPER ARM MOVE"
Full Body,Weeks 1-4,Full Body #3,Dumbbell Walking Lunge,3,10,8,2-3MIN,"10 STEPS EACH LEG. TAKE MEDIUM STRIDES, LET YOUR TORSO LEAN FORWARD"
Full Body,Weeks 1-4,Full Body #3,Dumbbell Incline Press,3,8,7,2-3MIN,KEEP YOUR SCAPULAE RETRACTED AND DEPRESSED
Full Body,Weeks 1-4,Full Body #3,Reverse Grip Lat Pulldown,3,10,8,2-3MIN,"PULL YOUR ELBOWS DOWN AGAINST YOUR SIDES, USE SHOULDER WIDTH GRIP"
Full Body,Weeks 1-4,Full Body #3,Barbell Hip Thrust,3,12,8,2-3MIN,"TUCK YOUR CHIN AND RIB CAGE DOWN, ONLY MOVE YOUR HIPS. USE A PAD"
Full Body,Weeks 1-4,Full Body #3,Seated Face Pull,3,12,8,1-2MIN,PULL YOUR ARMS BACK AND OUT
Full Body,Weeks 1-4,Full Body #3,Dumbbell Lateral Raise,3,10,8,1-2MIN,TILT THE DUMBBELL SUCH THAT YOUR PINKY COMES UP FIRST
Full Body,Weeks 1-4,Full Body #3,Lying Leg Curl,3,10,8,1-2MIN,FOCUS ON SQUEEZING YOUR HAMSTRINGS TO MAKE THE WEIGHT MOVE
Full Body,Weeks 5-8,Full Body #1,Back Squat,3,8,8,3-4MIN,"SIT BACK AND DOWN, 15 TOE FLARE, DRIVE YOUR KNEES OUT LATERALLY"
Full Body,Weeks 5-8,Full Body #1,Dumbbell Seated Shoulder Press,3,10,8,3-4MIN,"BRING THE DUMBBELL ALL THE WAY DOWN TO YOUR SHOULDERS, KEEP YOUR TORSO UPRIGHT"
Full Body,Weeks 5-8,Full Body #1,Single-Arm Pulldown,3,12,9,2-3MIN,"START WITH YOUR NON-DOMINANT ARM, MATCH REPS WITH DOMINANT ARM"
Full Body,Weeks 5-8,Full Body #1,Barbell Hip Thrust,3,8,9,2-3MIN,"TUCK YOUR CHIN AND RIB CAGE DOWN, ONLY MOVE YOUR HIPS. USE A PAD"
Full Body,Weeks 5-8,Full Body #1,Pec Deck,3,15,9,1-2MIN,"KEEP YOUR SCAPULAE RETRACTED, PULL YOUR INNER ELBOWS TOGETHER (NOT YOUR HANDS)"
Full Body,Weeks 5-8,Full Body #1,Reverse Pec Deck,3,15,9,1-2MIN,"PROTRACT YOUR SCAPULAE, SWEEP THE WEIGHT OUT AND BACK"
Full Body,Weeks 5-8,Full Body #1,Cable Lateral Raise,3,12,9,1-2MIN,"LEAN AWAY FROM THE MACHINE, ARMS STRAIGHT OUT TO YOUR SIDE"
Full Body,Weeks 5-8,Full Body #2,Deadlift,3,3,8,3-4MIN,"BRACE YOUR LATS, CHEST TALL, HIPS HIGH, PULL THE SLACK OUT OF THE BAR PRIOR TO MOVING IT OFF THE GROUND"
Full Body,Weeks 5-8,Full Body #2,Close-Grip Bench Press,3,5,7,3-4MIN,"SHOULDER WIDTH GRIP, TUCK YOUR ELBOWS AGAINST YOUR SIDES"
Full Body,Weeks 5-8,Full Body #2,Dumbbell Row,3,12,8,2-3MIN,"BRACE ONTO A BENCH FOR SUPPORT, PULL YOUR ELBOW AGAINST YOUR SIDES"
Full Body,Weeks 5-8,Full Body #2,Dumbbell Walking Lunge,3,12,8,1-2MIN,"12 STEPS EACH LEG. TAKE MEDIUM STRIDES, LET YOUR TORSO LEAN FORWARD"
Full Body,Weeks 5-8,Full Body #2,Assisted Dip,3,12,8,1-2MIN,"TUCK ELBOWS AT A 45º ANGLE, LEAN YOUR TORSO FORWARD 15°"
Full Body,Weeks 5-8,Full Body #2,Bicycle Crunch,3,10,7,1-2MIN,"FOCUS ON FLEXING AND ROTATING YOUR SPINE, BRING YOUR LEFT ELBOW TO RIGHT KNEE, RIGHT ELBOW TO LEFT KNEE"
Full Body,Weeks 5-8,Full Body #2,Single-Arm Cable Curl,3,12,8,1-2MIN,"FACE AWAY FROM THE CABLE YOU ARE USING, KEEP YOUR ARM BEHIND YOUR TORSO"
Full Body,Weeks 5-8,Full Body #3,Back Squat,3,5,8,2-3MIN,"SIT BACK AND DOWN, 15 TOE FLARE, DRIVE YOUR KNEES OUT LATERALLY"
Full Body,Weeks 5-8,Full Body #3,Barbell Bench Press,3,10,8,2-3MIN,"TUCK ELBOWS AT A 45 ANGLE, SQUEEZE YOUR SHOULDER BLADES AND STAY FIRM ON THE BENCH"
Full Body,Weeks 5-8,Full Body #3,Neutral-Grip Pulldown,3,15,8,2-3MIN,PALMS FACING EACH OTHER. PULL YOUR ELBOWS AGAINST YOUR SIDES
Full Body,Weeks 5-8,Full Body #3,Lying Leg Curl,3,12,8,2-3MIN,FOCUS ON SQUEEZING YOUR HAMSTRINGS TO MAKE THE WEIGHT MOVE
Full Body,Weeks 5-8,Full Body #3,Seated Face Pull,3,15,8,1-2MIN,PULL YOUR ARMS BACK AND OUT
Full Body,Weeks 5-8,Full Body #3,Single-Arm Rope Tricep Extension,3,12,8,1-2MIN,"PULL YOUR ARM BEHIND YOUR TORSO, DON'T MOVE YOUR UPPER ARM"
Full Body,Weeks 5-8,Full Body #3,Standing Calf Raise,3,10,8,1-2MIN,"PRESS ALL THE WAY UP TO YOUR TOES, STRETCH YOUR CALVES AT THE BOTTOM, DON'T BOUNCE"
Upper/Lower,Weeks 1-4,Lower Body #1,Back Squat,3,6,7,3-4MIN,"SIT BACK AND DOWN, 15° TOE FLARE, DRIVE YOUR KNEES OUT LATERALLY"
Upper/Lower,Weeks 1-4,Lower Body #1,Romanian Deadlift,3,10,7,2-3MIN,"MAINTAIN A NEUTRAL LOWER BACK, SET YOUR HIPS BACK, DON'T ALLOW YOUR SPINE TO ROUND"
Upper/Lower,Weeks 1-4,Lower Body #1,Barbell Hip Thrust,3,12,8,2-3MIN,"TUCK YOUR CHIN AND RIB CAGE DOWN, ONLY MOVE YOUR HIPS. USE A PAD"
Upper/Lower,Weeks 1-4,Lower Body #1,Leg Extension,3,12,9,1-2MIN,FOCUS ON SQUEEZING YOUR QUADS TO MAKE THE WEIGHT MOVE
Upper/Lower,Weeks 1-4,Lower Body #1,Lying Leg Curl,3,12,9,1-2MIN,FOCUS ON SQUEEZING YOUR HAMSTRINGS TO MAKE THE WEIGHT MOVE
Upper/Lower,Weeks 1-4,Lower Body #1,Machine Seated Hip Abduction,3,6,7,1-2MIN,"KEEP YOUR BUTT IN THE SEAT, FOCUS ON SQUEEZING YOUR GLUTES TO MAKE THE WEIGHT MOVE"
Upper/Lower,Weeks 1-4,Lower Body #1,Crunch,3,12,7,1-2MIN,"FOCUS ON FLEXING YOUR SPINE, DON'T YANK YOUR HEAD WITH YOUR ARMS"
Upper/Lower,Weeks 1-4,Upper Body #1,Barbell Bench Press,3,5,7,3-4MIN,"TUCK ELBOWS AT A 45 ANGLE, SQUEEZE YOUR SHOULDER BLADES AND STAY FIRM ON THE BENCH"
Upper/Lower,Weeks 1-4,Upper Body #1,Lat Pulldown,3,10,8,2-3MIN,"PULL YOUR ELBOWS STRAIGHT OUT TO YOUR SIDES, USE A 1.5X SHOULDER WIDTH GRIP"
Upper/Lower,Weeks 1-4,Upper Body #1,Military Press,3,10,7,3-4MIN,"SQUEEZE YOUR GLUTES TO KEEP YOUR TORSO UPRIGHT, CLEAR YOUR HEAD OUT OF THE WAY, PRESS UP AND SLIGHTLY BACK"
Upper/Lower,Weeks 1-4,Upper Body #1,Chest-Supported T-Bar Row,3,12,8,2-3MIN,"RETRACT YOUR SCAPULAE DURING THE CONCENTRIC, PROTRACT YOUR SCAPULAE DURING THE ECCENTRIC"
Upper/Lower,Weeks 1-4,Upper Body #1,Cable Flye,3,12,8,1-2MIN,"KEEP YOUR SCAPULAE RETRACTED, PULL YOUR INNER ELBOWS TOGETHER (NOT YOUR HANDS)"
